A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
23,77,105,70,60,186,173,109,62,35,8,4,211,22,21,22,27,12
23,77,106,69,61,188,176,111,63,36,9,4,213,22,22,25,27,13
22,76,106,69,60,181,174,108,62,35,8,4,213,22,20,21,25,11
22,75,107,69,60,181,172,108,61,35,8,4,212,22,20,23,25,11
22,77,109,69,61,180,172,109,62,36,10,4,214,24,24,28,29,13
22,76,108,68,61,180,172,108,61,36,8,4,210,22,20,22,25,11
23,77,109,69,62,178,172,110,65,37,10,5,207,23,28,28,29,13
22,77,108,68,61,172,172,110,64,37,10,5,205,22,27,26,29,13
20,73,106,66,59,168,168,104,59,35,8,4,199,21,18,21,24,11
20,74,109,66,59,167,167,104,60,35,8,4,197,22,19,21,25,11
20,74,106,66,59,167,167,104,59,35,8,4,195,22,19,21,25,12
20,72,107,65,59,166,165,104,59,35,8,4,195,21,18,20,24,11
19,70,106,65,58,162,163,104,58,35,7,3,192,21,17,18,23,11
19,70,108,65,58,160,155,104,58,35,8,4,190,22,20,23,27,12
18,67,106,63,57,155,155,100,57,34,8,4,179,22,20,22,26,12
18,66,106,63,57,153,155,99,56,34,8,4,178,22,20,23,27,13
18,65,104,61,56,151,153,98,55,33,8,4,176,21,18,22,25,12
17,65,103,59,54,149,151,97,54,32,7,3,173,21,17,20,23,11
17,63,102,58,53,147,149,95,53,31,7,3,172,21,17,19,22,11
16,62,101,57,53,147,156,95,54,32,7,3,174,21,17,19,22,11
16,62,100,57,53,146,160,96,54,33,7,3,176,21,17,20,22,11
16,62,100,57,53,146,163,98,54,33,8,4,177,22,18,21,23,12
16,64,101,57,54,147,164,99,55,34,8,4,179,22,19,24,24,13
16,65,102,58,55,147,165,100,56,35,10,4,181,24,23,32,33,16
16,64,102,57,54,146,167,100,56,35,10,4,182,24,23,32,32,16
16,64,100,57,54,147,166,101,56,35,10,4,184,24,23,32,31,15
16,63,99,56,54,147,167,101,57,36,10,4,186,24,23,33,32,16
16,62,98,55,53,146,169,101,57,36,10,4,186,24,24,33,33,16
16,62,97,55,53,145,169,102,57,37,11,4,186,25,24,34,34,17
15,61,97,55,54,145,167,101,57,36,10,4,183,24,22,30,33,15
16,62,98,56,54,145,163,101,57,35,9,4,180,24,21,26,30,14
15,61,97,54,53,148,160,98,55,34,8,4,174,23,18,23,25,13
15,60,97,55,53,150,157,97,55,34,8,4,173,23,18,23,25,13
15,61,98,55,54,152,158,98,55,34,8,4,172,24,19,24,26,13
16,62,98,56,55,154,160,101,56,35,9,4,177,24,24,28,30,15
17,63,99,57,56,155,158,102,59,36,10,5,176,25,28,31,34,16
15,61,98,55,55,156,153,98,56,34,9,4,172,25,22,26,30,15
15,63,100,55,55,158,149,98,55,34,8,4,169,24,22,27,28,15
18,67,104,59,59,162,151,103,62,37,13,6,172,28,37,47,45,21
18,67,104,59,59,166,151,103,62,37,13,6,171,28,37,47,44,21
17,67,104,58,59,164,150,103,62,38,13,6,172,28,37,47,45,22
17,66,105,59,59,163,150,103,61,38,13,6,171,28,37,47,45,22
17,66,104,58,59,158,147,103,62,37,13,6,172,29,37,47,45,22
17,66,104,58,58,156,145,102,62,37,13,6,174,29,37,47,46,22
17,66,104,58,58,156,142,102,61,37,13,6,173,29,37,48,46,22
17,65,102,58,58,157,138,102,61,37,13,6,171,28,37,48,46,22
17,65,103,57,58,156,134,100,61,36,13,6,168,29,37,48,46,22
17,64,102,57,57,153,130,99,61,36,13,6,166,28,37,48,46,22
17,63,101,56,57,149,131,99,61,36,13,6,167,28,37,48,46,22
17,64,104,57,58,149,133,99,61,36,14,6,168,29,37,49,46,22
17,63,103,56,58,147,135,98,61,36,13,6,167,29,37,49,46,22
17,63,104,56,58,148,136,98,61,36,14,6,165,29,37,49,46,22
17,63,104,56,58,148,137,98,61,36,13,6,162,29,37,49,46,21
17,63,103,55,58,148,138,97,61,36,14,6,160,29,37,50,46,22
17,63,104,55,58,148,139,97,60,36,14,6,157,29,37,50,46,21
17,62,105,56,58,145,138,98,61,36,14,6,156,30,38,50,46,21
16,61,105,55,57,138,139,97,61,36,13,6,155,30,36,46,45,20
15,58,102,53,54,130,136,94,57,33,10,4,152,27,27,34,35,16
15,57,101,52,53,127,134,93,57,33,10,4,151,28,27,34,34,16
14,56,101,51,53,126,133,93,57,33,10,4,150,27,27,34,34,16
14,54,99,51,53,126,129,92,57,33,10,4,148,27,27,34,34,16
14,55,99,51,53,127,124,92,57,32,10,4,148,28,27,34,34,15
14,55,99,52,54,129,121,93,57,32,10,4,147,28,27,35,34,15
14,55,98,52,54,130,118,92,56,32,10,4,147,28,27,35,34,15
14,54,98,52,54,131,116,92,57,32,10,4,147,28,27,35,33,15
14,54,99,51,54,132,115,92,57,32,10,4,146,28,27,35,33,15
14,54,99,52,54,133,115,92,58,32,10,4,146,28,28,36,33,15
14,54,100,52,55,134,114,93,58,31,10,4,144,28,27,36,33,15
14,55,100,52,55,135,113,92,58,31,10,4,145,28,28,36,33,15
13,54,99,52,55,134,113,92,58,31,10,4,143,28,28,36,33,15
13,52,96,51,53,134,113,90,55,30,9,4,140,27,25,35,29,15
12,52,96,49,53,132,112,89,56,30,10,4,138,27,23,33,31,14
13,52,96,50,53,130,112,90,57,30,9,4,139,28,25,34,30,14
12,51,97,49,53,128,112,89,57,30,9,4,138,28,23,31,29,13
13,52,99,50,54,127,114,91,58,31,12,5,140,28,29,43,35,17
12,51,100,50,54,126,114,91,58,31,12,5,139,29,29,43,35,17
12,50,98,49,52,123,113,89,57,30,9,4,137,27,24,32,28,14
12,51,99,50,53,123,113,90,58,30,9,4,138,28,25,33,30,14
12,51,100,50,53,123,112,90,57,30,9,4,136,28,25,33,29,14
12,50,100,50,52,121,115,89,57,30,9,4,136,28,24,32,29,14
13,52,101,51,53,124,115,93,58,31,10,5,138,28,29,38,31,15
13,53,103,51,55,125,114,93,60,31,11,5,138,29,31,40,34,16
13,53,105,51,55,125,111,93,61,31,11,5,136,29,31,40,34,16
13,53,105,51,55,125,109,92,60,30,11,5,135,29,31,40,33,16
13,54,105,52,56,127,108,92,60,31,11,5,134,29,34,42,33,16
14,56,109,53,59,129,106,93,64,32,14,7,134,31,41,55,42,20
14,57,110,53,59,129,105,93,64,32,14,7,133,31,41,54,42,20
