A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
177.82,368.29,153.64,94.67,90.46,62.50,14.23,22.69,12.70,11.14,129.90,24.58,18.85,43.71,69.23,112.45,916.70,3605.12,1023,Settling, 10
176.96,366.33,152.68,94.67,90.46,62.50,14.23,22.69,12.70,11.14,129.90,23.60,18.85,43.71,69.23,112.45,910.66,3587.32,866,Settling, 10
176.11,364.37,151.71,93.74,89.70,62.50,14.23,22.69,12.70,11.14,129.90,23.60,18.85,44.72,69.23,112.45,906.34,3569.52,917,Settling, 10
175.25,363.39,151.71,93.74,89.70,61.79,14.23,22.69,12.21,11.14,129.25,23.60,18.85,43.71,69.23,111.66,901.17,3552.83,952,Settling, 10
174.40,361.43,150.74,93.74,88.94,61.79,13.66,22.13,12.21,11.14,128.61,23.60,18.85,43.71,68.45,110.86,896.85,3531.69,974,Settling, 10
173.54,360.45,149.78,92.80,88.94,61.79,13.66,22.13,12.21,11.14,127.96,23.60,18.85,43.71,68.45,110.86,893.40,3520.56,1004,Settling, 10
173.54,359.47,149.78,92.80,88.18,61.08,13.66,22.13,12.21,11.14,127.31,23.60,18.85,41.67,68.45,110.86,889.94,3508.32,1023,Settling, 10
172.69,358.49,148.81,92.80,88.18,61.08,13.66,22.13,12.21,11.14,126.67,23.60,18.85,42.69,67.66,110.07,886.49,3496.08,923,Settling, 10
171.83,356.53,148.81,92.80,87.42,61.08,13.66,22.13,12.21,11.14,126.02,22.61,18.85,41.67,67.66,109.28,883.90,3484.95,1023,Settling, 10
171.83,355.56,147.85,91.86,87.42,61.08,13.66,21.58,12.21,11.14,124.73,22.61,18.85,42.69,67.66,108.49,881.31,3474.94,976,Settling, 10
170.12,354.58,147.85,91.86,87.42,60.37,13.66,21.58,12.21,10.70,124.08,22.61,18.85,41.67,66.87,108.49,877.86,3464.92,890,Settling, 10
170.12,352.62,146.88,91.86,86.66,60.37,13.66,21.58,11.72,10.70,124.08,22.61,18.85,40.66,66.87,107.70,873.54,3456.02,805,Settling, 10
169.27,351.64,146.88,91.86,86.66,60.37,13.66,21.58,11.72,10.70,123.44,22.61,18.85,40.66,66.09,106.90,870.95,3443.78,1010,Settling, 10
169.27,351.64,145.91,90.93,85.90,60.37,13.66,21.58,11.72,10.70,122.79,22.61,18.85,41.67,66.09,106.90,866.64,3432.66,1023,Settling, 10
168.41,351.64,145.91,90.93,85.90,60.37,13.66,21.58,11.72,10.70,122.79,22.61,18.85,41.67,66.09,106.11,862.32,3419.30,1010,Settling, 10
168.41,349.68,145.91,90.93,85.90,59.66,13.66,21.58,11.72,10.70,122.14,22.61,17.75,41.67,65.30,105.32,858.01,3402.61,943,Settling, 10
167.56,348.70,144.95,90.93,85.14,59.66,13.09,21.03,11.72,10.70,122.14,22.61,17.75,39.64,65.30,104.53,852.83,3387.04,968,Settling, 10
167.56,348.70,144.95,89.99,85.14,59.66,13.09,21.03,11.72,10.70,121.50,22.61,17.75,39.64,65.30,104.53,846.79,3369.23,971,Settling, 10
166.70,347.72,144.95,89.99,85.14,59.66,13.09,21.03,11.72,10.70,121.50,22.61,17.75,40.66,64.51,103.74,841.61,3350.32,1023,Settling, 10
166.70,347.72,144.95,89.99,85.14,59.66,13.09,21.03,11.72,10.70,121.50,22.61,17.75,40.66,64.51,102.94,834.70,3329.18,992,Settling, 10
166.70,347.72,143.98,89.99,84.38,59.66,13.09,21.03,11.72,10.25,121.50,22.61,17.75,40.66,64.51,102.94,830.38,3308.04,975,Settling, 10
