A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
40,410,365,78,185,316,226,234,111,35,7,6,193,56,27,16,18,7,1023,Settling, 10
40,412,367,79,185,317,226,234,111,35,7,6,194,55,27,16,19,7,777,Settling, 10
40,414,369,79,185,317,226,234,111,35,7,6,195,56,27,16,19,7,1015,Settling, 10
40,415,371,79,185,318,226,233,111,35,7,6,196,54,27,16,19,7,912,Settling, 10
41,417,373,79,186,318,226,233,111,35,7,6,196,54,27,16,19,7,997,Settling, 10
41,419,375,79,186,318,226,233,111,35,7,6,197,55,27,16,19,7,1023,Settling, 10
41,421,377,79,186,319,226,233,110,35,7,6,198,56,28,16,19,7,952,Settling, 10
41,422,378,80,186,319,225,232,110,35,7,6,198,55,28,16,19,7,1008,Settling, 10
41,424,380,80,187,319,225,232,110,35,7,6,199,57,28,16,19,7,970,Settling, 10
41,426,382,80,187,320,225,232,110,35,7,6,199,56,28,16,19,7,1007,Settling, 10
42,428,383,80,187,320,224,231,110,35,7,6,200,55,28,16,19,7,964,Settling, 10
42,429,385,80,187,320,224,231,109,35,7,6,200,57,28,16,19,7,884,Settling, 10
42,430,387,80,187,320,224,230,109,35,7,6,200,57,28,17,19,7,1023,Settling, 10
42,432,388,80,187,320,223,230,109,35,7,6,201,57,28,17,19,7,823,Settling, 10
42,434,390,81,187,320,223,229,109,34,7,6,201,57,28,17,19,7,801,Settling, 10
42,435,391,81,187,321,222,229,108,34,7,6,201,57,28,17,19,7,1023,Settling, 10
42,436,392,81,187,321,222,228,108,34,7,6,202,57,29,17,19,7,838,Settling, 10
42,437,394,81,188,321,222,228,108,34,7,6,202,57,29,17,19,7,1023,Settling, 10
42,439,395,81,188,321,221,228,108,34,7,6,202,57,29,17,19,7,882,Settling, 10
43,440,397,81,188,321,221,227,107,34,7,6,202,55,29,17,19,7,985,Settling, 10
43,442,398,81,188,321,220,227,107,34,7,6,202,57,29,17,19,7,996,Settling, 10
43,443,399,81,188,321,220,226,107,34,7,6,203,55,29,17,19,7,1023,Settling, 10
43,444,400,81,188,321,219,226,107,34,7,6,203,55,29,17,19,7,966,Settling, 10
43,445,402,81,188,321,219,225,106,34,7,6,203,57,29,17,19,7,1023,Settling, 10
43,447,403,81,188,321,218,225,106,34,7,6,203,57,29,17,19,7,912,Settling, 10
43,447,404,81,188,321,218,224,106,34,7,6,203,57,29,17,19,7,956,Settling, 10
43,449,405,82,188,321,217,224,106,34,7,6,203,55,29,17,19,7,1023,Settling, 10
43,449,406,82,188,321,217,223,105,34,7,6,203,57,29,17,19,7,832,Settling, 10
