A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
34.20,398.65,348.84,73.12,139.87,224.42,127.49,128.38,54.23,15.60,4.52,5.90,209.61,53.87,20.46,12.67,15.54,7.79,1017,Settling, 10
34.20,400.61,350.77,73.12,139.87,224.42,127.49,128.38,54.23,15.60,4.52,5.90,210.72,54.89,20.46,12.67,15.54,7.79,896,Settling, 10
34.20,402.57,352.70,73.12,140.63,225.13,127.49,128.38,54.23,15.60,4.52,5.90,211.83,55.90,21.24,12.67,15.54,7.79,960,Settling, 10
35.05,404.53,353.67,73.12,140.63,225.13,127.49,128.38,54.23,15.60,4.52,5.90,212.94,55.90,21.24,12.67,15.54,7.79,1008,Settling, 10
35.05,406.49,355.60,73.12,140.63,225.13,127.49,128.38,54.23,15.60,4.52,5.90,214.05,54.89,21.24,12.67,15.54,7.79,1023,Settling, 10
35.05,407.47,357.53,74.05,140.63,225.13,127.49,128.38,54.23,15.60,4.52,5.90,215.16,56.92,21.24,12.67,16.40,7.79,1017,Settling, 10
35.05,409.43,359.47,74.05,141.39,225.84,127.49,128.38,53.74,15.60,4.52,5.90,216.27,56.92,21.24,12.67,16.40,7.79,818,Settling, 10
35.05,411.39,360.43,74.05,141.39,225.84,127.49,128.38,53.74,15.60,4.52,5.90,217.38,55.90,21.24,12.67,16.40,7.79,1023,Settling, 10
35.05,413.35,362.37,74.05,141.39,225.84,127.49,127.83,53.74,15.60,4.52,5.90,217.38,57.94,22.03,12.67,16.40,7.79,1014,Settling, 10
35.05,414.32,363.33,74.05,141.39,225.84,127.49,127.83,53.74,15.60,4.52,5.90,218.49,57.94,22.03,12.67,16.40,7.79,1023,Settling, 10
35.91,415.30,365.26,74.05,141.39,225.84,127.49,127.83,53.74,15.60,4.52,5.90,219.60,55.90,22.03,12.67,16.40,7.79,945,Settling, 10
35.91,417.26,366.23,74.05,141.39,226.55,126.92,127.83,53.74,15.60,4.52,5.90,219.60,57.94,22.03,12.67,16.40,7.79,950,Settling, 10
35.91,418.24,368.16,74.05,141.39,225.84,126.92,127.27,53.74,15.60,4.52,5.90,220.70,57.94,22.03,12.67,16.40,7.79,864,Settling, 10
35.91,420.20,369.13,74.05,141.39,225.84,126.92,127.27,53.25,15.60,4.52,5.90,220.70,57.94,22.03,13.46,16.40,7.79,1023,Settling, 10
35.91,421.18,370.10,74.05,141.39,225.84,126.92,127.27,53.25,15.60,4.52,5.90,221.81,56.92,22.03,13.46,16.40,7.79,1023,Settling, 10
35.91,422.16,372.03,74.99,141.39,225.84,126.92,126.72,53.25,15.60,4.52,5.90,221.81,56.92,22.03,13.46,16.40,7.79,988,Settling, 10
