A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
188.93,294.83,162.34,96.55,107.94,66.05,21.06,33.20,17.59,16.49,195.82,33.43,25.51,64.04,92.05,159.96,1452.74,6043.03,781,Settling, 10
188.93,294.83,161.37,95.61,107.18,66.05,21.06,33.20,17.59,16.49,195.17,33.43,25.51,64.04,92.05,159.96,1449.29,6027.46,807,Settling, 10
188.93,295.81,161.37,95.61,107.18,65.34,21.06,33.20,17.10,16.49,195.17,33.43,26.62,64.04,92.05,159.96,1445.84,6012.99,1016,Settling, 10
188.07,295.81,161.37,95.61,107.18,65.34,20.49,32.65,17.10,16.49,194.52,32.45,25.51,62.00,92.05,159.96,1443.25,5997.41,990,Settling, 10
188.07,296.79,160.41,95.61,106.42,65.34,20.49,32.65,17.10,16.49,193.88,32.45,26.62,62.00,92.05,159.96,1439.79,5982.95,800,Settling, 10
188.07,296.79,160.41,95.61,106.42,65.34,20.49,32.65,17.10,16.49,193.88,32.45,25.51,63.02,92.05,159.17,1436.34,5967.37,944,Settling, 10
187.22,296.79,160.41,95.61,106.42,65.34,20.49,32.65,17.10,16.49,193.23,32.45,25.51,64.04,92.05,159.17,1433.75,5954.02,959,Settling, 10
187.22,296.79,159.44,94.67,105.66,64.63,20.49,32.65,17.10,16.49,192.59,32.45,26.62,64.04,92.05,159.17,1431.16,5938.44,1023,Settling, 10
187.22,297.77,159.44,94.67,105.66,64.63,20.49,32.65,17.10,16.05,191.94,32.45,26.62,63.02,92.05,159.17,1427.71,5923.98,1023,Settling, 10
186.36,297.77,159.44,94.67,105.66,64.63,20.49,32.09,17.10,16.05,191.94,32.45,25.51,63.02,92.05,159.17,1425.12,5909.51,946,Settling, 10
186.36,297.77,158.47,94.67,104.90,64.63,20.49,32.09,17.10,16.05,191.29,32.45,25.51,63.02,92.05,159.17,1421.67,5893.93,957,Settling, 10
185.51,297.77,158.47,94.67,104.90,63.92,20.49,32.09,17.10,16.05,190.65,32.45,25.51,62.00,92.05,159.17,1419.08,5879.47,847,Settling, 10
185.51,298.74,158.47,94.67,104.90,63.92,20.49,32.09,16.61,16.05,190.65,32.45,25.51,63.02,92.05,159.17,1415.62,5866.12,952,Settling, 10
185.51,298.74,157.51,93.74,104.14,63.92,19.92,32.09,16.61,16.05,190.00,32.45,25.51,63.02,92.05,158.38,1413.90,5852.76,992,Settling, 10
184.66,298.74,157.51,93.74,104.14,63.92,19.92,31.54,16.61,16.05,190.00,31.46,25.51,60.99,92.05,158.38,1410.45,5837.19,1014,Settling, 10
184.66,298.74,156.54,93.74,103.38,63.92,19.92,31.54,16.61,16.05,189.35,31.46,25.51,63.02,92.05,158.38,1407.86,5817.16,943,Settling, 10
184.66,298.74,156.54,93.74,103.38,63.21,19.92,31.54,16.61,16.05,188.71,31.46,25.51,63.02,92.05,158.38,1405.27,5811.59,747,Settling, 10
183.80,298.74,156.54,93.74,103.38,63.21,19.92,31.54,16.61,15.60,188.06,31.46,26.62,63.02,92.05,158.38,1402.68,5797.13,963,Settling, 10
183.80,298.74,155.58,92.80,102.62,63.21,19.92,31.54,16.61,15.60,188.06,31.46,25.51,62.00,92.05,158.38,1400.95,5786.00,1023,Settling, 10
182.95,298.74,155.58,92.80,102.62,63.21,19.92,31.54,16.61,15.60,187.42,31.46,25.51,63.02,92.05,158.38,1398.36,5771.54,965,Settling, 10
182.95,298.74,154.61,92.80,102.62,62.50,19.92,30.99,16.61,15.60,187.42,31.46,25.51,63.02,92.05,158.38,1394.91,5760.41,850,Settling, 10
182.09,298.74,154.61,92.80,101.86,62.50,19.92,30.99,16.61,15.60,186.77,31.46,25.51,62.00,92.05,157.58,1394.04,5748.17,931,Settling, 10
182.09,298.74,154.61,92.80,101.86,62.50,19.35,30.99,16.61,15.60,186.12,31.46,25.51,60.99,92.05,157.58,1391.46,5735.93,987,Settling, 10
182.09,298.74,153.64,91.86,101.86,62.50,19.35,30.99,16.12,15.60,186.12,31.46,26.62,62.00,92.05,157.58,1388.87,5723.69,1016,Settling, 10
181.24,298.74,153.64,91.86,101.10,61.79,19.35,30.99,16.12,15.60,185.48,31.46,25.51,62.00,92.05,157.58,1386.28,5712.56,1023,Settling, 10
181.24,297.77,152.68,91.86,101.10,61.79,19.35,30.99,16.12,15.60,184.83,31.46,25.51,62.00,92.05,157.58,1384.55,5699.21,1023,Settling, 10
180.38,297.77,152.68,91.86,101.10,61.79,19.35,30.99,16.12,15.60,184.83,31.46,25.51,62.00,92.84,157.58,1381.96,5689.20,1023,Settling, 10
180.38,297.77,152.68,91.86,100.34,61.79,19.35,30.99,16.12,15.60,184.18,30.48,25.51,59.97,92.05,157.58,1379.37,5678.07,843,Settling, 10
179.53,297.77,151.71,91.86,100.34,61.79,19.35,30.43,16.12,15.60,184.18,30.48,25.51,62.00,92.05,156.79,1377.64,5666.94,826,Settling, 10
179.53,296.79,151.71,90.93,100.34,61.08,19.35,30.43,16.12,15.15,183.54,30.48,25.51,62.00,92.84,156.79,1375.92,5654.70,992,Settling, 10
178.67,296.79,151.71,90.93,99.58,61.08,19.35,30.43,16.12,15.15,182.89,30.48,25.51,59.97,92.05,156.79,1373.33,5643.58,959,Settling, 10
178.67,296.79,150.74,90.93,99.58,61.08,19.35,30.43,16.12,15.15,182.89,30.48,25.51,62.00,92.84,156.79,1371.60,5633.56,789,Settling, 10
178.67,296.79,150.74,90.93,98.82,61.08,19.35,30.43,16.12,15.15,182.25,30.48,25.51,62.00,92.84,156.79,1369.88,5622.44,958,Settling, 10
177.82,296.79,149.78,89.99,98.82,60.37,19.35,30.43,16.12,15.15,182.25,30.48,25.51,60.99,92.05,156.79,1367.29,5610.20,948,Settling, 10
177.82,296.79,149.78,89.99,98.82,60.37,18.78,29.88,16.12,15.15,181.60,30.48,25.51,59.97,92.05,156.79,1365.56,5600.18,913,Settling, 10
177.82,295.81,149.78,89.99,98.06,60.37,18.78,29.88,15.63,15.15,180.95,30.48,25.51,60.99,92.05,156.00,1362.97,5590.17,1017,Settling, 10
176.96,295.81,148.81,89.99,98.06,60.37,18.78,29.88,15.63,15.15,180.95,30.48,25.51,60.99,92.05,156.00,1361.24,5577.93,997,Settling, 10
176.96,295.81,148.81,89.99,98.06,60.37,18.78,29.88,15.63,15.15,180.31,30.48,25.51,60.99,92.05,156.00,1358.65,5567.91,829,Settling, 10
176.11,295.81,148.81,89.99,98.06,59.66,18.78,29.88,15.63,15.15,180.31,30.48,25.51,60.99,92.05,156.00,1356.06,5556.79,824,Settling, 10
176.11,294.83,147.85,89.05,97.30,59.66,18.78,29.88,15.63,15.15,179.66,30.48,25.51,59.97,92.05,156.00,1354.34,5545.66,1023,Settling, 10
175.25,294.83,147.85,89.05,97.30,59.66,18.78,29.88,15.63,15.15,179.01,30.48,25.51,60.99,92.05,155.21,1352.61,5533.42,958,Settling, 10
175.25,294.83,147.85,89.05,97.30,59.66,18.78,29.33,15.63,15.15,179.01,29.50,25.51,60.99,92.05,155.21,1350.02,5523.41,968,Settling, 10
175.25,294.83,146.88,89.05,96.54,59.66,18.78,29.33,15.63,15.15,178.37,29.50,25.51,60.99,92.05,155.21,1348.30,5511.17,911,Settling, 10
174.40,294.83,146.88,89.05,96.54,59.66,18.78,29.33,15.63,15.15,178.37,29.50,25.51,58.95,92.05,155.21,1345.71,5502.27,815,Settling, 10
174.40,293.85,146.88,89.05,96.54,58.95,18.78,29.33,15.63,14.71,177.72,29.50,25.51,60.99,92.05,155.21,1343.98,5485.58,1023,Settling, 10
174.40,293.85,145.91,88.11,95.78,58.95,18.78,29.33,15.63,14.71,177.08,29.50,25.51,59.97,92.05,155.21,1341.39,5480.01,824,Settling, 10
173.54,293.85,145.91,88.11,95.78,58.95,18.21,29.33,15.63,14.71,177.08,29.50,25.51,59.97,92.05,154.42,1338.80,5467.77,824,Settling, 10
173.54,293.85,145.91,88.11,95.78,58.95,18.21,29.33,15.63,14.71,176.43,29.50,25.51,59.97,92.05,154.42,1337.07,5458.87,960,Settling, 10
172.69,292.87,144.95,88.11,95.78,58.95,18.21,29.33,15.14,14.71,175.78,29.50,25.51,59.97,92.05,154.42,1335.35,5447.74,940,Settling, 10
