A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
33.34,398.65,349.80,73.12,142.91,230.10,130.34,131.15,55.21,15.60,4.52,5.90,209.61,53.87,20.46,11.88,15.54,7.79,1023,Settling, 10
34.20,401.59,352.70,73.12,142.91,230.81,130.91,131.15,55.21,15.60,4.52,5.90,211.83,55.90,20.46,11.88,15.54,7.79,1023,Settling, 10
34.20,403.55,354.63,74.05,143.67,231.52,130.91,131.70,55.21,15.60,4.52,5.90,212.94,54.89,20.46,12.67,16.40,7.79,1023,Settling, 10
34.20,406.49,357.53,74.05,143.67,232.23,131.48,131.70,55.21,15.60,4.52,5.90,214.05,55.90,20.46,12.67,16.40,7.79,984,Settling, 10
34.20,408.45,359.47,74.05,144.43,232.23,132.05,132.25,55.69,16.05,5.17,5.90,216.27,55.90,21.24,12.67,16.40,7.79,899,Settling, 10
34.20,410.41,361.40,74.05,144.43,232.94,132.05,132.25,55.69,16.05,5.17,5.90,217.38,56.92,21.24,12.67,16.40,7.79,974,Settling, 10
35.05,412.37,364.30,74.05,144.43,232.94,132.05,132.25,55.21,16.05,5.17,5.90,218.49,57.94,21.24,12.67,16.40,7.79,1023,Settling, 10
35.05,414.32,366.23,74.99,144.43,233.65,132.05,132.25,55.69,16.05,5.17,5.90,219.60,55.90,21.24,12.67,16.40,7.79,930,Settling, 10
35.05,416.28,368.16,74.99,145.19,233.65,132.05,132.25,55.21,16.05,5.17,5.90,220.70,57.94,22.03,12.67,16.40,8.90,864,Settling, 10
35.05,418.24,370.10,74.99,145.19,233.65,132.05,132.25,55.21,16.05,5.17,5.90,221.81,56.92,22.03,12.67,16.40,8.90,818,Settling, 10
35.05,420.20,371.06,74.99,145.19,233.65,132.05,132.25,55.21,16.05,5.17,5.90,222.92,57.94,22.03,12.67,16.40,7.79,971,Settling, 10
35.05,421.18,372.99,74.99,145.19,234.36,132.05,132.25,55.21,16.05,5.17,5.90,222.92,57.94,22.03,13.46,16.40,8.90,911,Settling, 10
35.91,423.14,374.93,74.99,145.19,234.36,132.05,132.25,55.21,16.05,5.17,5.90,224.03,57.94,22.03,13.46,16.40,8.90,816,Settling, 10
35.91,425.10,376.86,75.93,145.19,234.36,132.05,132.25,55.21,16.05,5.17,5.90,225.14,58.95,22.03,13.46,16.40,8.90,1023,Settling, 10
35.91,426.08,377.83,75.93,145.19,234.36,131.48,131.70,55.21,16.05,5.17,5.90,225.14,58.95,22.03,13.46,16.40,7.79,1004,Settling, 10
35.91,427.06,379.76,75.93,145.19,234.36,131.48,131.70,54.72,16.05,5.17,5.90,225.14,58.95,22.03,13.46,16.40,7.79,1023,Settling, 10
35.91,429.02,380.73,75.93,145.19,234.36,131.48,131.15,54.72,16.05,5.17,5.90,226.25,58.95,22.82,13.46,16.40,8.90,896,Settling, 10
35.91,430.00,382.66,75.93,145.95,234.36,130.91,131.15,54.72,16.05,5.17,5.90,226.25,58.95,22.82,13.46,17.26,7.79,946,Settling, 10
35.91,431.96,383.62,75.93,145.19,234.36,130.91,130.59,54.72,16.05,5.17,5.90,227.36,56.92,22.82,13.46,16.40,8.90,806,Settling, 10
35.91,432.94,385.56,75.93,145.95,234.36,130.91,130.59,54.72,16.05,5.17,5.90,227.36,57.94,22.82,13.46,17.26,7.79,838,Settling, 10
