A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
7,66,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,1023,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,1000,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,584,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,0,13,2,2,1,1,0,778,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,928,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,866,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,992,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,1023,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,881,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,1023,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,974,Settling, 2
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1023,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,852,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,976,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,815,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1023,Settling, 2
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,968,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,888,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1018,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,954,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,976,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,680,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,828,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,602,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,867,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,898,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,4,2,1,1,0,975,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,919,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,745,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,932,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,991,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,920,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,937,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,925,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,880,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,863,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,798,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,895,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,833,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,852,Draining, 3
7,66,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,692,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,948,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,735,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,883,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,671,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,880,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,967,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,948,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,965,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,778,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,937,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,900,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,808,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,735,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,936,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,3,2,1,1,0,884,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,941,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,850,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,588,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,892,Draining, 3
7,65,61,10,18,29,17,22,12,2,1,1,13,3,2,1,1,0,842,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,842,Draining, 3
7,65,61,10,18,29,17,22,12,2,1,1,13,4,2,1,1,0,898,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,4,2,1,1,0,799,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,1,13,4,2,1,1,0,542,Draining, 3
7,65,61,10,18,29,17,22,12,2,1,0,13,4,2,1,1,0,728,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,796,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,936,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,871,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,855,Draining, 3
7,66,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,750,Draining, 3
7,66,61,10,18,29,17,22,12,2,1,1,13,3,2,1,1,0,824,Draining, 3
7,65,61,10,17,29,17,22,12,2,1,0,13,3,2,1,1,0,786,Draining, 3
7,65,61,10,18,29,17,22,12,2,1,1,13,3,2,1,1,0,821,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,857,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,0,13,3,2,1,1,0,1022,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,870,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,768,Draining, 3
7,65,62,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,949,Draining, 3
7,65,62,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,879,Draining, 3
7,65,62,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,943,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,940,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,741,Draining, 3
7,66,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,795,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,940,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,991,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,4,2,1,1,0,1023,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,4,2,1,1,0,832,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,932,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,4,2,1,1,0,944,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,0,13,4,2,1,1,0,940,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,801,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,840,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,867,Draining, 3
7,65,61,10,17,29,18,22,12,2,1,1,13,3,2,1,1,0,825,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,4,2,1,1,0,877,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,857,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,4,2,1,1,0,763,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,920,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,912,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,736,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,543,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,783,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,952,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,825,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,738,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,965,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,792,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,882,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,881,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,806,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,4,2,1,1,0,937,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,4,2,1,1,0,670,Draining, 3
7,66,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,988,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,829,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,759,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,784,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,805,Draining, 3
7,66,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,962,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,692,Draining, 3
7,65,61,10,18,29,18,23,12,2,1,1,13,3,2,1,1,0,927,Draining, 3
7,65,61,10,18,29,18,23,12,2,1,1,13,3,2,1,1,0,808,Draining, 3
7,65,61,10,18,29,18,23,12,2,1,1,14,3,2,1,1,0,895,Draining, 3
7,66,61,10,18,29,18,22,12,2,1,0,13,3,2,1,1,0,1023,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,14,3,2,1,1,0,932,Draining, 3
7,65,61,10,18,29,18,22,12,2,1,1,14,3,2,1,1,0,1023,Draining, 3
7,66,61,10,18,29,18,23,12,2,1,0,14,4,2,1,1,0,932,Draining, 3
7,66,61,10,18,29,18,22,12,2,1,1,13,3,2,1,1,0,804,Draining, 3
