A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,Settling, 2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,965,Settling, 2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,960,Settling, 2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1006,Settling, 2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1023,Settling, 2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,Settling, 2
54,61,53,33,29,26,5,8,6,5,17,4,3,7,9,11,84,203,715,Settling, 2
53,61,53,33,29,26,6,8,6,5,18,4,3,8,9,11,82,204,992,Settling, 2
53,60,53,33,29,26,6,8,6,5,18,4,3,7,9,11,81,206,1023,Settling, 2
53,60,52,33,29,26,6,8,6,5,19,4,3,8,9,11,80,206,836,Settling, 2
53,60,52,33,29,26,6,8,6,5,19,4,3,8,9,11,79,207,1023,Settling, 2
53,60,52,33,29,26,6,8,6,5,19,4,3,7,9,11,79,208,1023,Settling, 2
53,60,52,33,29,26,6,8,6,5,20,4,3,8,9,11,78,209,988,Settling, 2
53,60,52,33,29,26,6,8,6,5,20,4,3,8,9,11,78,209,1023,Settling, 2
53,60,52,33,29,26,6,8,6,5,20,4,3,8,9,11,78,209,911,Settling, 2
53,60,52,33,29,26,6,8,6,5,20,4,3,8,9,11,77,209,889,Settling, 2
53,60,52,33,28,26,6,8,6,5,21,4,3,8,9,11,77,209,952,Settling, 2
53,60,52,33,28,26,6,8,6,5,21,4,3,7,9,11,77,209,848,Settling, 2
53,60,52,33,29,26,6,8,6,5,21,4,3,8,9,11,76,209,724,Settling, 2
52,60,52,33,28,26,6,8,6,5,21,4,3,7,9,11,76,209,1023,Settling, 2
52,60,52,33,28,26,6,8,6,5,21,4,3,8,9,11,76,210,1023,Settling, 2
52,59,52,33,28,26,6,8,6,5,22,4,3,7,9,11,75,209,827,Draining, 3
52,60,52,33,28,26,6,8,6,5,22,4,3,7,9,11,75,208,1023,Draining, 3
52,60,52,33,28,26,6,8,6,5,22,4,3,8,9,11,75,207,1023,Draining, 3
52,60,52,33,28,26,6,8,6,5,22,4,3,8,9,11,75,207,952,Draining, 3
52,59,52,33,28,26,6,8,6,5,22,4,3,8,9,11,75,207,1023,Draining, 3
52,60,52,33,28,26,6,8,6,5,22,4,3,7,8,11,75,207,948,Draining, 3
52,60,52,33,28,26,6,8,6,5,22,4,3,8,8,11,74,207,693,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,208,776,Draining, 3
52,60,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,208,718,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,208,956,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,209,857,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,207,773,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,207,875,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,207,805,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,207,794,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,74,207,885,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,7,8,10,74,207,814,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,7,9,11,73,207,915,Draining, 3
52,59,52,33,28,26,6,8,6,5,23,4,3,8,9,11,73,207,919,Draining, 3
52,59,52,33,28,26,6,8,6,5,24,4,3,7,9,11,74,208,722,Draining, 3
