A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,782,Settling, 2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,965,Settling, 2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,960,Settling, 2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,1006,Settling, 2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,1023,Settling, 2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,931,Settling, 2
46.16,59.75,51.21,30.93,22.04,18.47,2.85,4.43,2.93,2.23,10.99,3.93,3.33,7.12,7.08,8.71,72.51,225.88,715,Settling, 2
45.31,59.75,51.21,30.93,22.04,18.47,3.42,4.43,2.93,2.23,11.63,3.93,3.33,8.13,7.08,8.71,70.78,226.99,992,Settling, 2
45.31,58.77,51.21,30.93,22.04,18.47,3.42,4.43,2.93,2.23,11.63,3.93,3.33,7.12,7.08,8.71,69.92,229.21,1023,Settling, 2
45.31,58.77,50.25,30.93,22.04,18.47,3.42,4.43,2.93,2.23,12.28,3.93,3.33,8.13,7.08,8.71,69.05,229.21,836,Settling, 2
45.31,58.77,50.25,30.93,22.04,18.47,3.42,4.43,2.93,2.23,12.28,3.93,3.33,8.13,7.08,8.71,68.19,230.33,1023,Settling, 2
45.31,58.77,50.25,30.93,22.04,18.47,3.42,4.43,2.93,2.23,12.28,3.93,3.33,7.12,7.08,8.71,68.19,231.44,1023,Settling, 2
45.31,58.77,50.25,30.93,22.04,18.47,3.42,4.43,2.93,2.23,12.93,3.93,3.33,8.13,7.08,8.71,67.33,232.55,988,Settling, 2
