A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.01,62.65,172.51,59.71,74.09,121.41,103.44,101.83,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,350,f
7.01,62.65,172.51,59.71,74.09,121.41,103.44,101.83,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,368,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,367,f
7.01,62.65,172.51,59.71,74.09,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,30.38,18.41,8.39,8.30,4.77,359,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,193.28,31.46,18.41,8.39,8.30,4.77,339,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,194.42,31.46,18.41,8.39,8.30,4.77,332,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,194.42,31.46,18.41,8.39,8.30,4.77,334,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,194.42,30.38,18.41,8.39,8.30,4.77,318,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,194.42,31.46,18.41,8.39,8.30,4.77,381,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,194.42,31.46,18.41,8.39,8.30,4.77,351,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.19,15.04,3.26,3.91,195.57,31.46,18.41,8.39,8.30,4.77,341,f
7.01,62.65,172.51,59.71,74.74,122.00,104.04,102.39,49.66,15.04,3.26,3.91,195.57,31.46,18.41,8.39,8.30,4.77,346,f
7.01,63.60,172.51,59.71,74.74,122.00,104.64,102.95,49.66,15.04,3.26,3.91,195.57,31.46,18.41,8.39,8.30,4.77,313,f
7.01,62.65,172.51,59.71,74.74,122.00,104.64,102.95,49.66,15.04,3.26,3.91,195.57,31.46,18.41,8.39,8.30,4.77,350,f
7.01,62.65,172.51,59.71,74.74,122.00,104.64,102.95,49.66,15.04,3.26,3.91,196.71,31.46,18.41,8.39,8.30,4.77,348,f
7.01,63.60,172.51,59.71,74.74,122.59,105.23,103.51,49.66,15.04,3.26,3.91,196.71,31.46,18.41,8.39,8.30,4.77,348,f
7.01,63.60,172.51,59.71,74.74,122.59,105.23,103.51,50.13,15.04,3.26,3.91,197.86,31.46,18.41,8.39,8.30,4.77,314,f
7.01,63.60,172.51,59.71,74.74,122.59,105.23,104.07,50.13,15.51,3.26,3.91,197.86,31.46,18.41,8.39,8.30,4.77,360,f
7.01,63.60,172.51,59.71,74.74,122.59,105.83,104.07,50.13,15.51,3.26,3.91,197.86,31.46,18.41,8.39,8.30,4.77,356,f
7.01,63.60,173.37,59.71,75.39,123.19,105.83,104.63,50.61,15.51,3.26,3.91,199.00,31.46,18.41,9.23,8.30,4.77,354,f
7.01,63.60,173.37,59.71,75.39,123.19,106.43,104.63,50.61,15.51,3.26,3.91,200.14,31.46,19.29,9.23,8.30,4.77,325,f
7.01,63.60,173.37,59.71,75.39,123.19,107.03,105.19,50.61,15.51,3.26,3.91,200.14,31.46,19.29,9.23,8.30,4.77,322,f
7.01,63.60,173.37,59.71,75.39,123.19,107.63,105.75,51.08,15.51,3.26,3.91,201.29,32.55,19.29,9.23,8.30,4.77,331,f
7.01,63.60,174.23,60.54,75.39,123.78,108.22,106.31,51.08,15.98,3.26,3.91,202.43,32.55,19.29,9.23,8.30,4.77,362,f
7.01,63.60,175.09,60.54,76.04,124.37,108.82,106.87,51.55,15.98,3.26,3.91,202.43,32.55,19.29,9.23,8.30,4.77,327,f
7.01,63.60,175.09,60.54,76.04,124.96,110.02,107.99,52.02,15.98,3.26,3.91,204.72,32.55,19.29,9.23,8.30,4.77,349,f
7.01,63.60,175.09,60.54,76.04,124.96,110.61,108.55,52.50,15.98,3.26,3.91,205.86,32.55,19.29,9.23,8.30,4.77,345,f
7.01,64.55,175.09,60.54,76.69,125.56,111.81,109.67,52.97,16.45,3.26,3.91,207.01,33.63,19.29,9.23,8.30,4.77,325,f
7.01,64.55,175.95,61.37,76.69,126.15,112.41,110.79,53.44,16.45,3.26,3.91,209.29,33.63,20.17,9.23,9.22,4.77,346,f
