A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
4.38,56.01,113.29,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,961,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,1004,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,22.78,8.77,5.03,2.77,2.38,457,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,497,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,495,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,493,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,1.19,508,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,475,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,542,f
4.38,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,1.19,464,f
4.38,56.01,113.29,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,487,f
4.38,56.01,113.29,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,1.19,496,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,22.78,8.77,5.03,2.77,2.38,479,f
5.26,56.01,112.43,24.05,25.35,36.13,7.18,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,488,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,1.19,450,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,462,f
4.38,56.01,113.29,24.88,26.00,36.13,7.18,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,442,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,484,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,1.19,435,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,2.38,479,f
4.38,56.01,113.29,24.88,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,22.78,8.77,5.03,2.77,2.38,455,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,458,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,438,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,1.19,500,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,479,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,1.19,451,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,21.70,8.77,5.03,2.77,1.19,452,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,465,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,1.19,455,f
4.38,56.95,113.29,24.88,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,58.33,22.78,8.77,5.03,2.77,2.38,453,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,435,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,1.19,469,f
4.38,56.01,112.43,24.05,25.35,36.13,7.77,8.95,6.62,1.41,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,449,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,461,f
4.38,56.95,113.29,24.88,26.00,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,21.70,8.77,5.03,2.77,2.38,451,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,493,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,408,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,469,f
5.26,56.95,113.29,24.88,26.00,36.13,7.77,8.95,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,431,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,1.19,448,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,458,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,8.95,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,441,f
5.26,56.95,114.15,24.88,26.00,36.13,7.77,9.51,6.62,0.94,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,464,f
5.26,56.01,113.29,24.88,26.00,36.13,7.77,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,474,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,425,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,497,f
4.38,56.01,113.29,24.05,25.35,36.13,7.77,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,450,f
4.38,56.95,113.29,24.88,25.35,36.13,7.77,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,413,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,456,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,481,f
5.26,56.95,114.15,24.88,26.00,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,466,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,445,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,445,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,447,f
4.38,56.01,113.29,24.05,25.35,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,440,f
4.38,56.95,113.29,24.88,26.00,36.13,8.37,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,469,f
5.26,56.01,112.43,24.88,25.35,36.13,8.97,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.87,2.77,2.38,421,f
5.26,56.01,112.43,24.05,25.35,35.53,8.97,9.51,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,446,f
5.26,56.01,113.29,24.88,25.35,36.13,8.97,10.07,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,467,f
4.38,56.95,113.29,24.88,25.35,36.13,8.97,10.07,6.62,1.41,0.65,0.98,59.47,22.78,8.77,5.03,2.77,2.38,445,f
4.38,56.01,112.43,24.05,25.35,35.53,8.97,10.07,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,497,f
5.26,56.01,113.29,24.88,25.35,36.13,8.97,10.07,6.62,1.41,0.65,0.98,60.61,22.78,8.77,5.03,2.77,2.38,476,f
5.26,56.95,113.29,24.88,26.00,36.13,8.97,10.07,7.09,1.41,0.65,0.98,60.61,22.78,9.65,5.87,2.77,2.38,424,f
5.26,56.01,113.29,24.88,25.35,35.53,9.57,10.07,7.09,1.41,0.65,0.98,60.61,22.78,9.65,5.87,2.77,2.38,442,f
4.38,56.01,113.29,24.88,25.35,35.53,9.57,10.63,7.09,1.41,0.65,0.98,60.61,22.78,9.65,5.87,2.77,2.38,469,f
4.38,56.01,113.29,24.88,25.35,36.13,9.57,10.63,7.09,1.41,0.65,0.98,60.61,22.78,9.65,5.87,2.77,2.38,451,f
5.26,56.95,113.29,24.88,25.35,36.13,10.16,10.63,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.87,2.77,2.38,1023,f
5.26,56.95,114.15,24.88,26.00,36.13,10.76,10.63,7.09,1.41,0.65,0.98,60.61,22.78,8.77,5.87,2.77,2.38,434,f
5.26,56.01,113.29,24.88,25.35,36.13,10.76,11.19,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,422,f
5.26,56.95,114.15,24.88,25.35,36.13,11.36,11.19,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,449,f
4.38,56.95,113.29,24.88,26.00,36.13,11.36,11.75,7.09,1.41,0.65,0.98,61.76,22.78,9.65,5.87,2.77,2.38,446,f
4.38,56.01,113.29,24.88,25.35,36.13,11.96,11.75,7.57,1.41,0.65,0.98,61.76,23.87,9.65,5.87,2.77,2.38,450,f
4.38,56.01,113.29,24.88,25.35,35.53,10.76,11.75,7.57,1.41,0.65,0.98,62.90,23.87,9.65,5.87,2.77,2.38,446,f
5.26,56.01,113.29,24.88,25.35,36.13,11.96,11.75,7.57,1.41,0.65,0.98,62.90,23.87,9.65,5.87,2.77,2.38,445,f
5.26,56.95,114.15,24.88,26.00,36.13,13.15,12.31,7.57,1.41,0.65,0.98,64.05,23.87,9.65,5.87,2.77,2.38,444,f
5.26,56.95,114.15,24.88,26.00,36.13,16.14,13.43,8.04,1.88,0.65,0.98,66.33,23.87,9.65,5.87,2.77,2.38,448,f
5.26,56.95,114.15,24.88,26.00,36.13,19.73,16.23,8.04,2.35,0.65,0.98,69.76,27.12,9.65,5.87,3.69,3.57,480,f
4.38,56.95,114.15,24.88,26.00,36.13,23.92,19.58,8.99,2.35,0.65,0.98,77.77,29.29,9.65,5.87,4.61,3.57,444,f
5.26,56.95,114.15,24.88,26.00,36.13,29.30,24.62,9.93,3.29,0.65,0.98,89.21,32.55,10.52,6.71,4.61,4.77,445,f
5.26,56.95,114.15,25.71,26.00,36.13,34.68,30.21,12.30,3.76,0.65,0.98,110.94,39.06,11.40,7.55,6.46,5.96,414,f
