A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
6.13,55.06,146.76,55.56,66.30,106.60,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,1023,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,755,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,1023,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,987,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,563,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,975,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,443,f
6.13,55.06,145.91,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,443,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,461,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,427,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,418,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,411,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,400,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,406,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,405,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,391,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,386,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,370,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,369,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,400,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,17.54,10.07,7.38,5.96,329,f
6.13,55.06,146.76,55.56,66.30,106.01,97.46,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,360,f
6.13,55.06,146.76,55.56,66.30,106.01,98.06,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,347,f
6.13,55.06,146.76,55.56,66.30,106.01,98.06,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,4.77,367,f
6.13,55.06,146.76,55.56,66.30,106.60,98.06,96.80,46.82,13.63,3.26,2.93,161.26,50.99,16.66,10.07,7.38,5.96,343,f
