A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.89,102.52,252.33,57.22,61.75,93.57,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,4.61,3.57,414,f
7.89,101.57,252.33,57.22,61.75,93.57,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,397,f
7.89,102.52,252.33,57.22,61.75,93.57,61.59,66.58,34.05,8.93,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,393,f
7.89,102.52,252.33,57.22,61.10,92.98,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,419,f
7.89,102.52,253.19,57.22,61.75,93.57,61.59,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,403,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,406,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,66.58,34.05,8.46,2.61,3.91,121.23,34.72,14.03,8.39,4.61,3.57,405,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,409,f
7.89,101.57,252.33,57.22,61.10,92.98,62.18,66.58,34.05,8.93,2.61,3.91,121.23,35.80,14.03,8.39,5.53,3.57,407,f
7.89,101.57,252.33,57.22,61.10,93.57,62.18,66.58,34.05,8.93,2.61,3.91,121.23,34.72,14.03,8.39,5.53,3.57,420,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,121.23,34.72,14.03,8.39,4.61,3.57,443,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,34.72,14.03,8.39,5.53,3.57,424,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,405,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,4.61,3.57,416,f
7.89,102.52,253.19,57.22,61.10,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,445,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,408,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,439,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,390,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,378,f
7.89,102.52,252.33,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,378,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,399,f
7.89,102.52,253.19,57.22,61.75,93.57,62.18,67.14,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,393,f
7.89,102.52,253.19,57.22,61.75,93.57,62.78,66.58,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,393,f
7.89,102.52,254.05,57.22,61.75,93.57,62.18,67.14,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,401,f
7.89,102.52,254.05,57.22,61.75,93.57,62.78,67.14,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,409,f
7.89,102.52,253.19,57.22,61.75,93.57,62.78,67.14,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,416,f
7.89,102.52,253.19,57.22,61.75,93.57,62.78,67.14,34.05,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,400,f
7.89,102.52,253.19,57.22,61.10,92.98,62.78,67.14,34.53,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,373,f
7.89,102.52,253.19,57.22,61.10,92.98,63.38,67.14,34.53,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,420,f
7.89,102.52,253.19,57.22,61.10,92.98,63.98,67.70,34.53,8.93,2.61,3.91,122.37,35.80,14.03,8.39,5.53,3.57,402,f
7.89,102.52,253.19,57.22,61.10,92.98,64.58,67.70,34.53,8.93,2.61,3.91,123.52,35.80,14.03,8.39,5.53,3.57,374,f
7.89,102.52,253.19,57.22,61.10,92.98,65.77,68.26,34.53,8.93,2.61,3.91,123.52,35.80,14.03,8.39,5.53,3.57,402,f
7.89,102.52,253.19,57.22,61.10,92.98,66.97,68.82,34.53,9.40,2.61,3.91,124.66,35.80,14.03,8.39,5.53,3.57,378,f
7.89,102.52,253.19,57.22,61.10,92.98,68.76,69.94,35.00,9.40,2.61,3.91,126.95,36.89,14.03,8.39,5.53,3.57,397,f
7.89,102.52,253.19,57.22,61.10,92.98,71.75,72.18,35.00,9.87,2.61,3.91,130.38,37.97,14.91,8.39,5.53,3.57,415,f
7.89,102.52,253.19,57.22,61.10,92.98,75.34,74.98,35.94,10.34,2.61,3.91,136.10,39.06,14.91,9.23,6.46,4.77,400,f
7.89,102.52,253.19,57.22,61.10,92.39,77.13,78.89,37.84,10.81,3.26,3.91,142.96,42.31,15.78,9.23,6.46,4.77,401,f
7.89,102.52,254.91,57.22,61.10,92.98,75.34,80.01,39.73,10.81,3.26,3.91,145.25,43.40,15.78,9.23,6.46,4.77,418,f
7.89,102.52,254.05,57.22,61.10,92.98,67.56,72.74,38.31,9.87,3.26,3.91,137.24,37.97,15.78,9.23,5.53,3.57,409,f
7.89,103.47,256.62,58.05,62.40,95.35,53.81,52.04,25.07,7.05,1.96,2.93,89.21,26.04,10.52,5.87,3.69,2.38,389,f
7.89,103.47,258.34,60.54,64.35,98.31,56.20,57.07,27.90,7.52,1.96,2.93,99.50,28.21,11.40,6.71,4.61,2.38,398,f
7.89,100.62,256.62,61.37,62.40,93.57,58.60,60.43,29.80,7.99,2.61,2.93,99.50,29.29,11.40,6.71,4.61,2.38,399,f
6.13,76.89,184.53,51.42,53.95,81.14,59.79,60.99,30.27,8.46,2.61,2.93,102.93,29.29,11.40,6.71,4.61,2.38,400,f
7.89,95.87,236.88,58.05,63.05,94.76,60.39,61.55,30.27,8.46,2.61,2.93,104.07,29.29,12.28,6.71,4.61,3.57,394,f
7.89,96.82,236.88,57.22,62.40,94.76,60.99,61.55,30.27,8.46,2.61,2.93,104.07,29.29,12.28,6.71,4.61,2.38,416,f
7.89,96.82,239.46,58.05,62.40,94.76,62.18,62.11,30.27,8.46,2.61,2.93,105.22,29.29,12.28,6.71,4.61,3.57,400,f
7.89,96.82,238.60,57.22,61.10,93.57,63.98,63.23,30.74,8.46,2.61,2.93,105.22,29.29,12.28,6.71,4.61,3.57,395,f
7.89,95.87,238.60,56.39,60.45,92.98,65.77,64.35,30.74,8.93,2.61,2.93,106.36,30.38,12.28,6.71,4.61,3.57,1008,f
7.89,95.87,236.88,55.56,60.45,92.39,67.56,65.46,31.21,8.93,2.61,2.93,108.65,30.38,12.28,6.71,4.61,3.57,1023,f
7.89,95.87,236.02,55.56,59.80,91.80,69.96,67.14,31.69,9.40,2.61,2.93,109.79,31.46,12.28,6.71,4.61,3.57,1001,f
7.89,94.92,236.02,55.56,59.80,91.21,71.75,68.26,32.16,9.40,2.61,2.93,110.94,32.55,12.28,6.71,4.61,3.57,1023,f
7.89,94.92,234.31,55.56,59.80,90.61,74.74,69.38,32.16,9.87,2.61,2.93,113.22,32.55,12.28,7.55,4.61,3.57,1023,f
7.89,94.92,234.31,55.56,59.80,91.21,78.33,71.62,33.11,10.34,2.61,2.93,115.51,33.63,12.28,7.55,5.53,3.57,1009,f
7.89,95.87,235.17,55.56,59.80,91.21,82.51,73.86,33.58,10.81,2.61,2.93,118.94,34.72,13.15,7.55,5.53,3.57,741,f
7.89,95.87,235.17,55.56,59.80,91.21,86.70,76.66,34.53,10.81,2.61,2.93,121.23,34.72,13.15,7.55,5.53,4.77,1023,f
7.89,94.92,233.45,55.56,59.15,90.02,91.48,78.89,35.00,11.28,2.61,2.93,125.80,35.80,13.15,7.55,5.53,4.77,1023,f
7.89,94.92,231.73,55.56,59.15,90.61,99.25,83.37,35.94,12.22,3.26,2.93,130.38,37.97,14.03,8.39,6.46,4.77,1023,f
7.89,94.92,232.59,55.56,59.80,90.61,108.22,88.41,37.36,13.16,3.26,3.91,137.24,39.06,14.03,8.39,6.46,4.77,1023,f
7.89,94.92,233.45,56.39,59.80,91.21,121.38,94.56,38.78,14.10,3.26,3.91,145.25,42.31,14.91,8.39,7.38,5.96,1023,f
7.89,95.87,234.31,56.39,59.80,91.80,139.32,104.63,41.15,15.98,3.26,3.91,157.83,45.57,14.91,9.23,8.30,7.15,708,f
7.89,95.87,235.17,56.39,60.45,92.39,157.85,115.26,43.98,17.39,3.91,3.91,172.69,49.91,15.78,9.23,9.22,8.34,1023,f
7.89,96.82,236.88,57.22,61.10,93.57,187.75,131.49,47.77,20.21,3.91,3.91,194.42,57.50,16.66,10.91,11.07,9.53,953,f
7.89,96.82,238.60,58.05,62.40,95.35,227.81,156.11,53.92,23.97,4.56,4.88,227.59,68.35,18.41,11.75,12.91,11.92,950,f
7.89,96.82,240.32,59.71,63.05,97.13,263.68,188.00,61.48,27.73,5.22,4.88,269.91,84.62,21.04,14.26,15.68,14.30,936,f
7.89,97.77,242.89,61.37,65.00,100.09,294.18,217.66,70.94,31.96,6.52,5.86,307.65,98.73,22.80,15.94,17.52,15.49,1005,f
7.89,99.67,247.18,63.86,67.60,103.64,337.23,268.01,88.91,36.66,7.82,6.84,301.93,94.39,24.55,15.94,15.68,13.11,1013,f
7.89,101.57,254.91,69.66,73.44,112.53,282.82,271.37,107.36,33.37,8.48,7.81,394.57,121.51,30.69,20.98,20.29,15.49,1005,f
8.76,105.37,266.06,80.44,83.84,126.15,209.87,221.57,97.43,29.14,7.82,8.79,331.67,84.62,28.94,17.62,13.83,9.53,1023,f
9.64,113.91,286.66,100.35,103.34,153.98,74.14,85.61,47.77,13.16,4.56,5.86,229.88,43.40,27.18,13.42,8.30,4.77,1023,f
10.51,122.45,302.11,140.15,142.34,210.84,32.29,36.37,17.50,6.58,1.96,3.91,107.51,16.27,21.04,7.55,3.69,1.19,1009,f
14.89,186.05,467.76,208.99,215.13,315.07,31.69,35.25,16.55,6.11,1.96,2.93,104.07,16.27,16.66,6.71,3.69,1.19,1023,f
9.64,140.49,345.88,65.52,94.24,137.40,32.29,36.93,17.03,6.58,1.96,2.93,107.51,16.27,17.54,6.71,3.69,1.19,1011,f
5.26,124.35,306.40,37.32,59.80,94.17,33.48,38.05,17.97,6.58,2.61,2.93,108.65,17.36,17.54,7.55,3.69,1.19,1023,f
6.13,127.20,313.27,38.98,60.45,95.94,33.48,38.05,17.97,6.58,2.61,2.93,108.65,17.36,17.54,7.55,3.69,1.19,852,f
6.13,127.20,313.27,38.98,60.45,95.94,33.48,38.05,17.97,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,748,f
6.13,127.20,312.41,38.15,60.45,95.35,33.48,37.49,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
