A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Stage,Interval
11.36,150.06,172.37,34.86,65.19,124.37,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,172.37,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,15.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,172.37,34.86,65.19,124.37,37.34,36.51,18.82,5.01,1.59,1.68,34.97,15.96,3.92,2.52,2.58,2.21,Settling, 10
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,150.06,171.50,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.70,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.04,37.77,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,124.37,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Draining, 3
11.36,150.06,172.37,34.86,65.19,123.04,37.34,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,150.06,171.50,34.86,65.19,123.04,37.77,36.51,18.82,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.04,37.34,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,151.01,171.50,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.04,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,171.50,34.86,65.19,122.38,37.77,36.51,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,151.01,172.37,34.86,65.19,123.04,37.77,36.92,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,151.96,171.50,34.86,65.19,122.38,37.77,36.92,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,151.96,172.37,34.86,65.19,122.38,37.77,36.92,19.19,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,152.91,172.37,34.86,65.94,122.38,37.77,36.92,19.19,5.01,1.59,1.68,34.97,14.96,3.13,2.52,2.58,2.21,Draining, 3
12.12,152.91,172.37,35.69,65.94,122.38,37.77,36.92,19.56,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,154.81,173.24,35.69,65.94,122.38,37.77,37.33,19.56,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,156.71,174.11,35.69,66.70,123.04,37.77,37.33,19.56,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,157.66,174.98,35.69,67.46,123.70,37.77,37.33,19.56,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,159.56,175.85,36.52,68.22,124.37,37.77,37.33,19.56,5.01,1.59,1.68,34.97,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,161.46,177.59,36.52,68.98,125.03,37.77,37.33,19.56,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,163.35,179.33,36.52,69.73,126.35,38.19,37.33,19.56,5.34,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,166.20,181.94,37.35,71.25,128.33,38.19,37.33,19.56,5.34,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,170.00,186.30,37.35,72.77,131.64,38.19,37.33,19.56,5.34,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,173.80,192.39,37.35,75.04,135.61,38.19,37.33,19.56,5.34,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,176.65,197.61,37.35,76.56,139.58,38.19,37.33,19.56,5.34,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,178.55,200.22,37.35,76.56,142.23,38.19,37.33,19.56,5.34,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,180.45,202.84,37.35,77.31,142.89,38.19,37.33,19.56,5.34,1.59,1.68,37.23,16.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,183.30,206.32,38.18,78.83,145.53,38.19,37.33,19.56,5.34,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
13.63,183.30,209.80,38.18,79.59,148.18,38.19,37.33,19.56,5.34,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
12.12,176.65,209.80,36.52,76.56,148.84,38.19,37.33,19.19,5.34,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
12.12,175.70,208.06,36.52,75.04,146.86,38.19,37.33,19.56,5.01,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,176.65,208.06,36.52,75.04,144.87,38.19,37.33,19.56,5.01,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,177.60,208.06,36.52,75.04,144.21,37.77,37.33,19.56,5.01,1.59,1.68,37.23,16.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,178.55,211.54,36.52,75.80,145.53,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,181.40,215.02,37.35,75.80,146.86,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,182.35,216.76,37.35,76.56,147.52,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,182.35,216.76,37.35,75.80,146.86,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,185.20,217.64,36.52,76.56,147.52,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,3.36,2.58,2.21,Draining, 3
12.87,188.05,221.99,37.35,77.31,149.50,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,190.90,226.34,37.35,78.83,152.81,38.19,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,190.90,227.21,37.35,78.83,154.13,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,189.95,225.47,37.35,78.83,153.47,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,191.85,225.47,37.35,78.83,152.15,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,192.80,228.08,37.35,79.59,154.80,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,190.90,227.21,37.35,79.59,155.46,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,185.20,221.99,35.69,77.31,150.83,37.77,37.33,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,181.40,217.64,35.69,75.80,148.84,37.77,36.92,19.56,5.01,1.59,1.68,37.23,15.96,3.92,3.36,2.58,2.21,Draining, 3
12.12,178.55,213.28,34.86,73.52,144.87,37.77,36.92,19.56,5.01,1.59,1.68,36.10,15.96,3.92,2.52,2.58,2.21,Draining, 3
12.12,175.70,210.67,34.86,72.77,142.23,37.77,36.92,19.56,5.01,1.59,1.68,37.23,15.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,170.95,205.45,34.03,71.25,138.92,37.77,36.92,19.56,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
11.36,163.35,198.48,33.20,68.22,134.29,37.77,36.92,19.56,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
10.60,156.71,190.65,31.54,65.19,128.33,37.77,36.92,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
10.60,149.11,181.07,30.71,62.16,121.06,37.77,36.92,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
10.60,143.41,172.37,29.88,59.88,113.78,37.34,36.92,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
9.84,138.66,166.27,29.88,57.61,110.47,37.34,36.51,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
9.84,133.91,161.05,29.05,56.09,107.17,37.34,36.51,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
9.09,129.16,154.09,28.22,54.58,103.20,37.34,36.51,19.19,5.01,1.59,1.68,36.10,14.96,3.92,2.52,2.58,2.21,Draining, 3
9.09,122.52,147.12,27.39,52.30,98.57,37.34,36.51,19.19,5.01,1.59,1.68,36.10,13.97,3.92,2.52,2.58,2.21,Draining, 3
9.09,115.87,138.42,26.56,49.27,91.95,37.34,36.51,19.56,5.01,1.59,1.68,36.10,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,112.07,132.32,26.56,47.00,89.31,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.92,2.52,2.58,2.21,Draining, 3
8.33,108.27,127.10,25.73,46.24,84.67,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.92,2.52,2.58,2.21,Draining, 3
8.33,103.52,121.88,25.73,44.72,81.37,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,101.62,117.52,25.73,43.96,79.38,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,101.62,116.65,25.73,43.96,78.72,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,101.62,115.78,25.73,43.96,78.06,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,101.62,115.78,25.73,43.96,78.06,37.34,36.51,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,103.52,116.65,26.56,44.72,78.72,37.34,36.92,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,102.57,116.65,26.56,44.72,78.72,37.34,36.92,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,103.52,117.52,26.56,44.72,79.38,37.34,36.92,19.56,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,105.42,118.39,26.56,45.48,80.04,37.77,36.92,19.93,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
8.33,106.37,120.13,26.56,45.48,80.71,37.77,36.92,19.93,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
9.09,108.27,121.88,27.39,46.24,82.03,37.77,37.33,19.93,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
9.09,111.12,124.49,28.22,47.00,83.35,37.77,37.33,19.93,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
9.09,113.97,127.97,28.22,47.75,85.34,37.77,37.33,20.30,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
9.84,118.72,132.32,29.05,50.03,88.64,37.77,37.73,20.30,5.01,1.59,1.68,34.97,13.97,3.13,2.52,2.58,2.21,Draining, 3
9.84,124.42,140.16,30.71,52.30,93.94,38.19,37.73,20.30,5.01,1.59,1.68,36.10,13.97,3.92,2.52,2.58,2.21,Draining, 3
10.60,130.11,147.12,31.54,54.58,99.23,38.19,37.73,20.67,5.34,1.59,1.68,36.10,13.97,3.92,2.52,2.58,2.21,Draining, 3
10.60,136.76,156.70,33.20,57.61,105.84,38.19,38.14,20.67,5.34,1.59,1.68,36.10,13.97,3.92,2.52,2.58,2.21,Draining, 3
11.36,144.36,165.40,34.03,60.64,112.46,38.19,38.14,20.67,5.34,1.59,1.68,36.10,13.97,3.92,2.52,2.58,2.21,Draining, 3
12.12,151.96,174.98,36.52,63.67,119.73,38.62,38.14,21.04,5.34,1.59,1.68,37.23,13.97,3.92,2.52,2.58,2.21,Draining, 3
12.87,159.56,183.68,37.35,65.94,125.03,38.62,38.54,21.04,5.34,1.59,1.68,37.23,14.96,3.92,2.52,2.58,2.21,Draining, 3
12.87,167.15,193.26,39.01,68.98,131.64,38.62,38.54,21.04,5.34,1.59,1.68,37.23,14.96,3.92,2.52,2.58,2.21,Draining, 3
13.63,180.45,214.15,40.67,74.28,145.53,38.62,38.54,21.41,5.34,1.59,1.68,38.35,14.96,3.92,2.52,2.58,2.21,Draining, 3
