A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,315,f
5.26,52.21,125.31,48.93,50.05,73.44,73.54,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,9.23,5.53,3.57,317,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,318,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,318,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,316,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,315,f
5.26,53.16,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,315,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,314,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,314,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,312,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,312,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,310,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,314,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,312,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,314,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,313,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,313,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,9.23,5.53,3.57,313,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,311,f
5.26,53.16,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,9.23,5.53,3.57,311,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,307,f
5.26,53.16,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,310,f
